Indicator
#1-2-1
#16-9-1
#2-2-1
#2-2-2
#3-2-1
#3-2-2
#3-7-1
#3-7-2
#3-a-1
#3-b-1
#4-2-1
#4-3-1
#4-5-1
#5-3-1
#8-6-1
#8-7-1
