Year,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2016,_L_RW_171101_1,,USD,,1534.4
2017,_L_RW_171101_1,,USD,,1979.9
2018,_L_RW_171101_1,,USD,,2039.2
2020,_L_RW_171101_1,,USD,,2159.7
