Year,Observation-level footnotes,Source details,SERIES,Reference area,Sex,UNIT_MEASURE,GeoCode,Value
2019,Only Women own agriculture,RLMUA,Proportion of total agricultural population with ownership or secure rights over agricultural land [5.a.1],,Female,Percent,,25
2019,Only Men own agriculture,RLMUA,Proportion of total agricultural population with ownership or secure rights over agricultural land [5.a.1],,Male,Percent,,13
2019,Both male and female for married couples own agriculture,RLMUA,Both male and female for married couples own agriculture,,,Percent,,62
