Year,Observation status,Unit multiplier,Nature of data points,Observation-level footnotes,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2017,Normal value,Units,Not Available,Primary government expenditures as a proportion of original approved budget,Annual,National,Primary government expenditures as a proportion of original approved budget [16.6.1],,Percent,,47.2
2019,Normal value,Units,Not Available,Primary government expenditures as a proportion of original approved budget,Annual,National,Primary government expenditures as a proportion of original approved budget [16.6.1],,Percent,,49.0
2020,Normal value,Units,Not Available,Primary government expenditures as a proportion of original approved budget,Annual,National,Primary government expenditures as a proportion of original approved budget [16.6.1],,Percent,,50.0
