Year,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2011,BN_CAB_XOKA_GD_ZS,,PT,,-6.9
2012,BN_CAB_XOKA_GD_ZS,,PT,,-9.7
2013,BN_CAB_XOKA_GD_ZS,,PT,,-7.5
2014,BN_CAB_XOKA_GD_ZS,,PT,,-11.3
2015,BN_CAB_XOKA_GD_ZS,,PT,,-12.6
2016,BN_CAB_XOKA_GD_ZS,,PT,,-15.2
2017,BN_CAB_XOKA_GD_ZS,,PT,,-9.5
2018,BN_CAB_XOKA_GD_ZS,,PT,,-10.1
2019,BN_CAB_XOKA_GD_ZS,,PT,,-11.9
2020,BN_CAB_XOKA_GD_ZS,,PT,,-12.1
2021,BN_CAB_XOKA_GD_ZS,,PT,,-11.2
2022,BN_CAB_XOKA_GD_ZS,,PT,,-9.4
2023,BN_CAB_XOKA_GD_ZS,,PT,,-11.7
2024,BN_CAB_XOKA_GD_ZS,,PT,,-11.6
2014,BN_KLT_PTXL_CD,,USD,,-1.0
2015,BN_KLT_PTXL_CD,,USD,,-7.9
2016,BN_KLT_PTXL_CD,,USD,,-4.9
2017,BN_KLT_PTXL_CD,,USD,,74.1
2018,BN_KLT_PTXL_CD,,USD,,14.8
2019,BN_KLT_PTXL_CD,,USD,,30.4
2020,BN_KLT_PTXL_CD,,USD,,-36.7
2021,BN_KLT_PTXL_CD,,USD,,-277.2
2022,BN_KLT_PTXL_CD,,USD,,56.9
2023,BN_KLT_PTXL_CD,,USD,,66.0
2024,BN_KLT_PTXL_CD,,USD,,20.6
2011,BX_KLT_DINV_WD_GD_ZS,,PT,,1.6
2012,BX_KLT_DINV_WD_GD_ZS,,PT,,3.5
2013,BX_KLT_DINV_WD_GD_ZS,,PT,,3.0
2014,BX_KLT_DINV_WD_GD_ZS,,PT,,3.8
2015,BX_KLT_DINV_WD_GD_ZS,,PT,,1.9
2016,BX_KLT_DINV_WD_GD_ZS,,PT,,3.2
2017,BX_KLT_DINV_WD_GD_ZS,,PT,,3.0
2018,BX_KLT_DINV_WD_GD_ZS,,PT,,3.8
2019,BX_KLT_DINV_WD_GD_ZS,,PT,,2.5
2020,BX_KLT_DINV_WD_GD_ZS,,PT,,1.5
2021,BX_KLT_DINV_WD_GD_ZS,,PT,,2.1
2022,BX_KLT_DINV_WD_GD_ZS,,PT,,2.3
2023,BX_KLT_DINV_WD_GD_ZS,,PT,,3.2
2024,BX_KLT_DINV_WD_GD_ZS,,PT,,4.0
2011,DP_DOD_DLD2_CR_CG_Z1,,PT,,18.8
2012,DP_DOD_DLD2_CR_CG_Z1,,PT,,19.5
2013,DP_DOD_DLD2_CR_CG_Z1,,PT,,26.8
2014,DP_DOD_DLD2_CR_CG_Z1,,PT,,28.7
2015,DP_DOD_DLD2_CR_CG_Z1,,PT,,33.3
2016,DP_DOD_DLD2_CR_CG_Z1,,PT,,37.7
2017,DP_DOD_DLD2_CR_CG_Z1,,PT,,41.8
2018,DP_DOD_DLD2_CR_CG_Z1,,PT,,45.7
2019,DP_DOD_DLD2_CR_CG_Z1,,PT,,50.8
2020,DP_DOD_DLD2_CR_CG_Z1,,PT,,67.2
2021,DP_DOD_DLD2_CR_CG_Z1,,PT,,69.0
2022,DP_DOD_DLD2_CR_CG_Z1,,PT,,64.1
2023,DP_DOD_DLD2_CR_CG_Z1,,PT,,70.0
2024,DP_DOD_DLD2_CR_CG_Z1,,PT,,75.8
2011,DT_DOD_DECT_GN_ZS,,PT,,17.3
2012,DT_DOD_DECT_GN_ZS,,PT,,18.5
2013,DT_DOD_DECT_GN_ZS,,PT,,24.8
2014,DT_DOD_DECT_GN_ZS,,PT,,25.6
2015,DT_DOD_DECT_GN_ZS,,PT,,28.3
2016,DT_DOD_DECT_GN_ZS,,PT,,48.1
2017,DT_DOD_DECT_GN_ZS,,PT,,50.9
2018,DT_DOD_DECT_GN_ZS,,PT,,55.4
2019,DT_DOD_DECT_GN_ZS,,PT,,59.7
2020,DT_DOD_DECT_GN_ZS,,PT,,75.0
2021,DT_DOD_DECT_GN_ZS,,PT,,76.3
2022,DT_DOD_DECT_GN_ZS,,PT,,68.0
2023,DT_DOD_DECT_GN_ZS,,PT,,79.2
2024,DT_DOD_DECT_GN_ZS,,PT,,86.5
2017,FB_BNK_CAPA_ZS,,PT,,21.4
2018,FB_BNK_CAPA_ZS,,PT,,25.5
2019,FB_BNK_CAPA_ZS,,PT,,24.1
2020,FB_BNK_CAPA_ZS,,PT,,21.5
2021,FB_BNK_CAPA_ZS,,PT,,21.5
2022,FB_BNK_CAPA_ZS,,PT,,21.7
2023,FB_BNK_CAPA_ZS,,PT,,21.5
2024,FB_BNK_CAPA_ZS,,PT,,20.5
2011,FI_RES_TOTL_MO,,NUMBER,,5.3
2012,FI_RES_TOTL_MO,,NUMBER,,4.1
2013,FI_RES_TOTL_MO,,NUMBER,,4.8
2014,FI_RES_TOTL_MO,,NUMBER,,3.9
2015,FI_RES_TOTL_MO,,NUMBER,,3.6
2016,FI_RES_TOTL_MO,,NUMBER,,3.9
