Year,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2018,Tourism direct GDP as a proportion of total GDP,RDB,ST_GDP_ZS,,PT,,3.4
2019,Tourism direct GDP as a proportion of total GDP,RDB,ST_GDP_ZS,,PT,,4.9
2020,Tourism direct GDP as a proportion of total GDP,RDB,ST_GDP_ZS,,PT,,1.3
2024,Tourism direct GDP as a proportion of total GDP,RDB,ST_GDP_ZS,,PT,,4.3
