Year,SERIES,Reference area,GeoCode,Value
2016,Proportion of domestic budget funded by domestic taxes [17.1.2],,,62.4
2017,Proportion of domestic budget funded by domestic taxes [17.1.2],,,66.0
2018,Proportion of domestic budget funded by domestic taxes [17.1.2],,,66.0
2019,Proportion of domestic budget funded by domestic taxes [17.1.2],,,67.0
2020,Proportion of domestic budget funded by domestic taxes [17.1.2],,,68.3
2021,Proportion of domestic budget funded by domestic taxes [17.1.2],,,60.5
2022,Proportion of domestic budget funded by domestic taxes [17.1.2],,,67.0
