Year,Observation status,Unit multiplier,Nature of data points,Observation-level footnotes,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2019,Normal value,Units,Not Available,Energy intensity measured in terms of primary energy and GDP,Annual,National,Energy intensity level of primary energy [7.3.1],,Megajoules per USD constant PPP GDP,,3.2
2020,Normal value,Units,Not Available,Energy intensity measured in terms of primary energy and GDP,Annual,National,Energy intensity level of primary energy [7.3.1],,Megajoules per USD constant PPP GDP,,3.2
