Year,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2006,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],,Percent,,18.9
2011,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],,Percent,,36.1
2014,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],,Percent,,54.1
2016,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],,Percent,,68.0
2020,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],,Percent,,93.0
