Year,Observation-level footnotes,Source details,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2019,Reason for stopping last employment/ Physical and social harassment,"LFS, NISR",Proportion of population reporting having felt discriminated against [16.b.1],,Percent,,0.3
2021,Reason for stopping last employment/ Physical and social harassment,"LFS, NISR",Proportion of population reporting having felt discriminated against [16.b.1],,Percent,,0.1
2022,Reason for stopping last employment/ Physical and social harassment,"LFS, NISR",Proportion of population reporting having felt discriminated against [16.b.1],,Percent,,0.1
2023,Reason for stopping last employment/ Physical and social harassment,"LFS, NISR",Proportion of population reporting having felt discriminated against [16.b.1],,Percent,,0.2
