Year,OBS_STATUS,UNIT_MULT,NATURE,COMMENT_OBS,FREQ,REPORTING_TYPE,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2019,A,0,_X,"Broadband
(≥256kbps)",A,N,IT_NET_BBND,,PER_100_POP,,0.1
2020,A,0,_X,"Broadband
(≥256kbps)",A,N,IT_NET_BBND,,PER_100_POP,,0.1
2021,A,0,_X,"Broadband
(≥256kbps)",A,N,IT_NET_BBND,,PER_100_POP,,0.3
2022,A,0,_X,"Broadband
(≥256kbps)",A,N,IT_NET_BBND,,PER_100_POP,,0.4
2023,A,0,_X,"Broadband
(≥256kbps)",A,N,IT_NET_BBND,,PER_100_POP,,0.5
2024,A,0,_X,"Broadband
(≥256kbps)",A,N,IT_NET_BBND,,PER_100_POP,,0.5
2019,A,0,_X,"Broadband
(≥256kbps)",A,N,IT_NET_BBNDN,,NUMBER,,9420.0
2020,A,0,_X,"Broadband
(≥256kbps)",A,N,IT_NET_BBNDN,,NUMBER,,17685.0
2021,A,0,_X,"Broadband
(≥256kbps)",A,N,IT_NET_BBNDN,,NUMBER,,31902.0
2022,A,0,_X,"Broadband
(≥256kbps)",A,N,IT_NET_BBNDN,,NUMBER,,47772.0
2023,A,0,_X,"Broadband
(≥256kbps)",A,N,IT_NET_BBNDN,,NUMBER,,62175.0
2024,A,0,_X,"Broadband
(≥256kbps)",A,N,IT_NET_BBNDN,,NUMBER,,74091.0
