Year,SERIES,REF_AREA,SEX,UNIT_MEASURE,GeoCode,Value
2023,VC_VAW_SXVLN,,M,PT,,5.3
2024,VC_VAW_SXVLN,,M,PT,,5.1
2023,VC_VAW_SXVLN,,F,PT,,11.8
2024,VC_VAW_SXVLN,,F,PT,,10.8
