Year,SERIES,Reference area,GeoCode,Value
2009,Forest area as a proportion of total land area [15.1.1],,,28.0
2019,Forest area as a proportion of total land area [15.1.1],,,30.4
2009,Forest area as a proportion of total land area [15.1.1],Nyaruguru,23,48.0
2019,Forest area as a proportion of total land area [15.1.1],Nyaruguru,23,55.0
2009,Forest area as a proportion of total land area [15.1.1],Rusizi,36,48.0
2019,Forest area as a proportion of total land area [15.1.1],Rusizi,36,53.0
2009,Forest area as a proportion of total land area [15.1.1],Nyamagabe,25,45.0
2019,Forest area as a proportion of total land area [15.1.1],Nyamagabe,25,50.0
2009,Forest area as a proportion of total land area [15.1.1],Nyamasheke,37,44.0
2019,Forest area as a proportion of total land area [15.1.1],Nyamasheke,37,48.0
2009,Forest area as a proportion of total land area [15.1.1],Kayonza,54,52.0
2019,Forest area as a proportion of total land area [15.1.1],Kayonza,54,45.0
2009,Forest area as a proportion of total land area [15.1.1],Gatsibo,53,43.0
2019,Forest area as a proportion of total land area [15.1.1],Gatsibo,53,43.0
2009,Forest area as a proportion of total land area [15.1.1],Musanze,43,30.0
2019,Forest area as a proportion of total land area [15.1.1],Musanze,43,36.0
2009,Forest area as a proportion of total land area [15.1.1],Nyagatare,52,41.0
2019,Forest area as a proportion of total land area [15.1.1],Nyagatare,52,35.0
2009,Forest area as a proportion of total land area [15.1.1],Rutsiro,32,20.0
2019,Forest area as a proportion of total land area [15.1.1],Rutsiro,32,30.0
2009,Forest area as a proportion of total land area [15.1.1],Karongi,31,26.0
2019,Forest area as a proportion of total land area [15.1.1],Karongi,31,30.0
2009,Forest area as a proportion of total land area [15.1.1],Nyabihu,34,22.0
2019,Forest area as a proportion of total land area [15.1.1],Nyabihu,34,28.0
2009,Forest area as a proportion of total land area [15.1.1],Gicumbi,45,20.0
2019,Forest area as a proportion of total land area [15.1.1],Gicumbi,45,28.0
2009,Forest area as a proportion of total land area [15.1.1],Muhanga,27,21.0
2019,Forest area as a proportion of total land area [15.1.1],Muhanga,27,26.0
2009,Forest area as a proportion of total land area [15.1.1],Rulindo,41,21.0
2019,Forest area as a proportion of total land area [15.1.1],Rulindo,41,26.0
2009,Forest area as a proportion of total land area [15.1.1],Gakenke,42,21.0
2019,Forest area as a proportion of total land area [15.1.1],Gakenke,42,25.0
2009,Forest area as a proportion of total land area [15.1.1],Huye,24,20.0
2019,Forest area as a proportion of total land area [15.1.1],Huye,24,25.0
2009,Forest area as a proportion of total land area [15.1.1],Ngororero,35,17.0
2019,Forest area as a proportion of total land area [15.1.1],Ngororero,35,22.0
2009,Forest area as a proportion of total land area [15.1.1],Nyarugenge,11,20.0
2019,Forest area as a proportion of total land area [15.1.1],Nyarugenge,11,21.0
2009,Forest area as a proportion of total land area [15.1.1],Burera,44,14.0
2019,Forest area as a proportion of total land area [15.1.1],Burera,44,20.0
2009,Forest area as a proportion of total land area [15.1.1],Gasabo,12,17.0
2019,Forest area as a proportion of total land area [15.1.1],Gasabo,12,20.0
2009,Forest area as a proportion of total land area [15.1.1],Rubavu,33,10.0
2019,Forest area as a proportion of total land area [15.1.1],Rubavu,33,18.0
2009,Forest area as a proportion of total land area [15.1.1],Bugesera,57,17.0
2019,Forest area as a proportion of total land area [15.1.1],Bugesera,57,18.0
2009,Forest area as a proportion of total land area [15.1.1],Kirehe,55,21.0
2019,Forest area as a proportion of total land area [15.1.1],Kirehe,55,17.0
2009,Forest area as a proportion of total land area [15.1.1],Ruhango,26,11.0
2019,Forest area as a proportion of total land area [15.1.1],Ruhango,26,14.0
2009,Forest area as a proportion of total land area [15.1.1],Kamonyi,28,12.0
2019,Forest area as a proportion of total land area [15.1.1],Kamonyi,28,14.0
2009,Forest area as a proportion of total land area [15.1.1],Rwamagana,51,8.0
2019,Forest area as a proportion of total land area [15.1.1],Rwamagana,51,14.0
2009,Forest area as a proportion of total land area [15.1.1],Nyanza,21,11.0
2019,Forest area as a proportion of total land area [15.1.1],Nyanza,21,13.0
2009,Forest area as a proportion of total land area [15.1.1],Gisagara,22,12.0
2019,Forest area as a proportion of total land area [15.1.1],Gisagara,22,13.0
2009,Forest area as a proportion of total land area [15.1.1],Ngoma,56,8.0
2019,Forest area as a proportion of total land area [15.1.1],Ngoma,56,12.0
2009,Forest area as a proportion of total land area [15.1.1],Kicukiro,13,9.0
2019,Forest area as a proportion of total land area [15.1.1],Kicukiro,13,9.0
