Year,Observation status,Unit multiplier,Nature of data points,Observation-level footnotes,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2016,Normal value,Units,Not Available,Exports goods and services in Million USD,Annual,National,Exports goods and services in Million USD,,USD,,1534.4
2017,Normal value,Units,Not Available,Exports goods and services in Million USD,Annual,National,Exports goods and services in Million USD,,USD,,1979.9
2018,Normal value,Units,Not Available,Exports goods and services in Million USD,Annual,National,Exports goods and services in Million USD,,USD,,2039.2
2020,Normal value,Units,Not Available,Exports goods and services in Million USD,Annual,National,Exports goods and services in Million USD,,USD,,2159.7
