Year,Series,Value
2017,SG_DSR_SILS,77.3
2018,SG_DSR_SILS,96.7
2019,SG_DSR_SILS,100.0
2020,SG_DSR_SILS,100.0
2021,SG_DSR_SILS,100.0
2022,SG_DSR_SILS,100.0
2017,SG_DSR_SILN,77.3
2018,SG_DSR_SILN,96.7
2019,SG_DSR_SILN,100.0
2020,SG_DSR_SILN,100.0
2021,SG_DSR_SILN,100.0
2022,SG_DSR_SILN,100.0
