Year,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,GeoCode,Value
2015,Proportion of children under 5 years of age whose births have been registered with a civil authority,"RDHS, 2014/15 and 2019/20, Census 2022",SG_REG_BRTH,,,Y0T4,PT,,56.0
2020,Proportion of children under 5 years of age whose births have been registered with a civil authority,"RDHS, 2014/15 and 2019/20, Census 2022",SG_REG_BRTH,,,Y0T4,PT,,85.6
2022,Proportion of children under 5 years of age whose births have been registered with a civil authority,"RDHS, 2014/15 and 2019/20, Census 2022",SG_REG_BRTH,,,Y0T4,PT,,94.3
2020,Proportion of children under 5 years of age whose births have been registered with a civil authority,"RDHS, 2014/15 and 2019/20, Census 2022",SG_REG_BRTH,,M,Y0T4,PT,,85.8
2022,Proportion of children under 5 years of age whose births have been registered with a civil authority,"RDHS, 2014/15 and 2019/20, Census 2022",SG_REG_BRTH,,M,Y0T4,PT,,94.3
2020,Proportion of children under 5 years of age whose births have been registered with a civil authority,"RDHS, 2014/15 and 2019/20, Census 2022",SG_REG_BRTH,,F,Y0T4,PT,,85.4
2022,Proportion of children under 5 years of age whose births have been registered with a civil authority,"RDHS, 2014/15 and 2019/20, Census 2022",SG_REG_BRTH,,F,Y0T4,PT,,94.3
