Year,Observation status,Unit multiplier,Nature of data points,Observation-level footnotes,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2019,Normal value,Units,Not Available,Reason for stopping last employment/ Physical and social harassment,Annual,National,Proportion of population reporting having felt discriminated against [10.3.1],,Percent,,0.3
2021,Normal value,Units,Not Available,Reason for stopping last employment/ Physical and social harassment,Annual,National,Proportion of population reporting having felt discriminated against [10.3.1],,Percent,,0.1
2022,Normal value,Units,Not Available,Reason for stopping last employment/ Physical and social harassment,Annual,National,Proportion of population reporting having felt discriminated against [10.3.1],,Percent,,0.1
2023,Normal value,Units,Not Available,Reason for stopping last employment/ Physical and social harassment,Annual,National,Proportion of population reporting having felt discriminated against [10.3.1],,Percent,,0.2
