Year,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,SEX,UNIT_MEASURE,GeoCode,Value
2016,Proportion of women in managerial positions,"LFS, NISR",IC_GEN_MGTL,,F,PT,,26.9
2017,Proportion of women in managerial positions,"LFS, NISR",IC_GEN_MGTL,,F,PT,,29.5
2018,Proportion of women in managerial positions,"LFS, NISR",IC_GEN_MGTL,,F,PT,,34.1
2019,Proportion of women in managerial positions,"LFS, NISR",IC_GEN_MGTL,,F,PT,,32.5
2021,Proportion of women in managerial positions,"LFS, NISR",IC_GEN_MGTL,,F,PT,,34.8
2022,Proportion of women in managerial positions,"LFS, NISR",IC_GEN_MGTL,,F,PT,,26.1
2023,Proportion of women in managerial positions,"LFS, NISR",IC_GEN_MGTL,,F,PT,,39.6
