Year,Observation status,Unit multiplier,Nature of data points,Observation-level footnotes,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2014,Normal value,Units,Not Available,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,Annual,National,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income [3.8.2],,Percent,,5.1
2017,Normal value,Units,Not Available,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income,Annual,National,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income [3.8.2],,Percent,,4.8
