Year,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2011,Current account balance as a percentage of GDP [17.13.1],,Percent,,-6.9
2012,Current account balance as a percentage of GDP [17.13.1],,Percent,,-9.7
2013,Current account balance as a percentage of GDP [17.13.1],,Percent,,-7.5
2014,Current account balance as a percentage of GDP [17.13.1],,Percent,,-11.3
2015,Current account balance as a percentage of GDP [17.13.1],,Percent,,-12.6
2016,Current account balance as a percentage of GDP [17.13.1],,Percent,,-15.2
2017,Current account balance as a percentage of GDP [17.13.1],,Percent,,-9.5
2018,Current account balance as a percentage of GDP [17.13.1],,Percent,,-10.1
2019,Current account balance as a percentage of GDP [17.13.1],,Percent,,-11.9
2020,Current account balance as a percentage of GDP [17.13.1],,Percent,,-12.1
2021,Current account balance as a percentage of GDP [17.13.1],,Percent,,-11.2
2022,Current account balance as a percentage of GDP [17.13.1],,Percent,,-9.4
2023,Current account balance as a percentage of GDP [17.13.1],,Percent,,-11.7
2024,Current account balance as a percentage of GDP [17.13.1],,Percent,,-11.6
2014,"Portfolio investment, net (Balance of Payments, million USD) [17.13.1]",,USD,,-1.0
2015,"Portfolio investment, net (Balance of Payments, million USD) [17.13.1]",,USD,,-7.9
2016,"Portfolio investment, net (Balance of Payments, million USD) [17.13.1]",,USD,,-4.9
2017,"Portfolio investment, net (Balance of Payments, million USD) [17.13.1]",,USD,,74.1
2018,"Portfolio investment, net (Balance of Payments, million USD) [17.13.1]",,USD,,14.8
2019,"Portfolio investment, net (Balance of Payments, million USD) [17.13.1]",,USD,,30.4
2020,"Portfolio investment, net (Balance of Payments, million USD) [17.13.1]",,USD,,-36.7
2021,"Portfolio investment, net (Balance of Payments, million USD) [17.13.1]",,USD,,-277.2
2022,"Portfolio investment, net (Balance of Payments, million USD) [17.13.1]",,USD,,56.9
2023,"Portfolio investment, net (Balance of Payments, million USD) [17.13.1]",,USD,,66.0
2024,"Portfolio investment, net (Balance of Payments, million USD) [17.13.1]",,USD,,20.6
2011,Foreign direct investment as a percentage of GDP [17.13.1],,Percent,,1.6
