Year,SERIES,REF_AREA,URBANISATION,GeoCode,Value
2010,_L_RW_060101_1,,,,74.0
2015,_L_RW_060101_1,,,,73.0
2020,_L_RW_060101_1,,,,80.0
2022,_L_RW_060101_1,,,,82.0
2005,_L_RW_060101_1,,U,,55.4
2010,_L_RW_060101_1,,U,,90.0
2015,_L_RW_060101_1,,U,,91.0
2020,_L_RW_060101_1,,U,,96.0
2022,_L_RW_060101_1,,U,,95.7
2005,_L_RW_060101_1,,R,,22.6
2010,_L_RW_060101_1,,R,,71.0
2015,_L_RW_060101_1,,R,,69.2
2020,_L_RW_060101_1,,R,,77.0
2022,_L_RW_060101_1,,R,,76.7
