Year,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,GeoCode,Value
2014,EN_REF_COLDIS,55,,PT,55,2.1
2017,EN_REF_COLDIS,55,,PT,55,1.1
2024,EN_REF_COLDIS,55,,PT,55,2.5
2011,EN_REF_COLDIS,26,,PT,26,3.9
2014,EN_REF_COLDIS,26,,PT,26,1.6
2017,EN_REF_COLDIS,26,,PT,26,2.5
2024,EN_REF_COLDIS,26,,PT,26,2.9
2011,EN_REF_COLDIS,28,,PT,28,0.9
2014,EN_REF_COLDIS,28,,PT,28,0.8
2017,EN_REF_COLDIS,28,,PT,28,9.0
2024,EN_REF_COLDIS,28,,PT,28,12.5
2011,EN_REF_COLDIS,51,,PT,51,1.5
2014,EN_REF_COLDIS,51,,PT,51,3.3
2017,EN_REF_COLDIS,51,,PT,51,2.4
2024,EN_REF_COLDIS,51,,PT,51,7.8
2011,EN_REF_COLDIS,21,,PT,21,3.3
2014,EN_REF_COLDIS,21,,PT,21,4.4
2017,EN_REF_COLDIS,21,,PT,21,1.8
2024,EN_REF_COLDIS,21,,PT,21,2.5
2011,EN_REF_COLDIS,22,,PT,22,1.1
2014,EN_REF_COLDIS,22,,PT,22,0.2
2017,EN_REF_COLDIS,22,,PT,22,3.4
2024,EN_REF_COLDIS,22,,PT,22,0.4
2011,EN_REF_COLDIS,56,,PT,56,1.0
2014,EN_REF_COLDIS,56,,PT,56,1.2
2017,EN_REF_COLDIS,56,,PT,56,1.2
2024,EN_REF_COLDIS,56,,PT,56,1.7
2011,EN_REF_COLDIS,13,,PT,13,44.8
2014,EN_REF_COLDIS,13,,PT,13,47.2
2017,EN_REF_COLDIS,13,,PT,13,59.2
2024,EN_REF_COLDIS,13,,PT,13,59.1
