Year,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2015,"Malaria incidence per 1,000 population at risk [3.3.3]",,"Per 1,000 population",,308
2021,"Malaria incidence per 1,000 population at risk [3.3.3]",,"Per 1,000 population",,114
2022,"Malaria incidence per 1,000 population at risk [3.3.3]",,"Per 1,000 population",,76
2023,"Malaria incidence per 1,000 population at risk [3.3.3]",,"Per 1,000 population",,47
2024,"Malaria incidence per 1,000 population at risk [3.3.3]",,"Per 1,000 population",,45
