Year,SERIES,Reference area,GeoCode,Value
2017,Proportion of bodies of water with good ambient water quality [6.3.2],,,79
2018,Proportion of bodies of water with good ambient water quality [6.3.2],,,15
2020,Proportion of bodies of water with good ambient water quality [6.3.2],,,79
