Year,SERIES,Reference area,GeoCode,Value
2015,"Proportion of government recurrent and capital spending to sectors that disproportionately benefit women, the poor and vulnerable groups",,,103794273.9
2017,"Proportion of government recurrent and capital spending to sectors that disproportionately benefit women, the poor and vulnerable groups",,,109465948.7
