Year,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2010,Coverage of essential health services [3.8.1],,Percent,,45.3
2015,Coverage of essential health services [3.8.1],,Percent,,53.1
2020,Coverage of essential health services [3.8.1],,Percent,,53.7
