Year,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2015,Percentage  of citizens who have encountered corruption while interacting with service providers,,Percent,,17.5
2016,Percentage  of citizens who have encountered corruption while interacting with service providers,,Percent,,24.4
2017,Percentage  of citizens who have encountered corruption while interacting with service providers,,Percent,,23.9
2018,Percentage  of citizens who have encountered corruption while interacting with service providers,,Percent,,20.4
2019,Percentage  of citizens who have encountered corruption while interacting with service providers,,Percent,,18.5
2020,Percentage  of citizens who have encountered corruption while interacting with service providers,,Percent,,19.2
2021,Percentage  of citizens who have encountered corruption while interacting with service providers,,Percent,,22.9
2022,Percentage  of citizens who have encountered corruption while interacting with service providers,,Percent,,29.1
2023,Percentage  of citizens who have encountered corruption while interacting with service providers,,Percent,,23.5
2024,Percentage  of citizens who have encountered corruption while interacting with service providers,,Percent,,13.2
