Year,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2017,SG_DSR_SILN,,PT,,77.3
2018,SG_DSR_SILN,,PT,,96.7
2019,SG_DSR_SILN,,PT,,100.0
2020,SG_DSR_SILN,,PT,,100.0
2021,SG_DSR_SILN,,PT,,100.0
2022,SG_DSR_SILN,,PT,,100.0
2023,SG_DSR_SILN,,PT,,100.0
